item_id;pedido_id;produto_id;quantidade;preco_unitario
1;1;2;2;120.0
2;1;1;2;4500.0
3;1;6;2;350.0
4;1;7;1;400.0
5;2;4;1;1200.0
6;2;2;1;120.0
7;2;7;1;400.0
8;3;4;2;1200.0
9;3;1;2;4500.0
10;3;5;2;1500.0
11;4;6;1;350.0
12;4;7;2;400.0
13;4;4;1;1200.0
14;5;2;1;120.0
15;5;5;2;1500.0
16;5;1;2;4500.0
17;6;3;1;200.0
18;6;2;2;120.0
19;7;4;1;1200.0
20;7;6;2;350.0
21;7;3;2;200.0
22;8;5;1;1500.0
23;9;7;1;400.0
24;9;1;2;4500.0
25;10;7;2;400.0
26;10;6;2;350.0
27;10;3;1;200.0
28;11;7;1;400.0
29;11;2;2;120.0
30;11;1;2;4500.0
31;12;4;1;1200.0
32;12;3;1;200.0
33;12;2;1;120.0
34;12;1;1;4500.0
35;13;4;2;1200.0
36;14;1;1;4500.0
37;15;4;2;1200.0
38;16;6;2;350.0
39;16;3;2;200.0
40;16;2;1;120.0
41;17;1;1;4500.0
42;17;6;1;350.0
43;17;7;1;400.0
44;18;3;1;200.0
45;18;2;1;120.0
46;19;4;1;1200.0
47;20;1;2;4500.0
48;21;1;1;4500.0
49;21;2;2;120.0
50;21;7;1;400.0
51;21;5;2;1500.0
52;22;1;2;4500.0
53;23;7;1;400.0
54;24;5;1;1500.0
55;25;2;2;120.0
56;25;6;1;350.0
57;26;2;2;120.0
58;27;3;1;200.0
59;27;2;1;120.0
60;27;5;1;1500.0
61;28;5;1;1500.0
62;29;3;1;200.0
63;29;2;1;120.0
64;30;5;2;1500.0
65;30;6;2;350.0
66;31;4;1;1200.0
67;31;6;1;350.0
68;32;4;1;1200.0
69;32;7;2;400.0
70;32;2;1;120.0
71;33;1;1;4500.0
72;33;4;2;1200.0
73;33;7;2;400.0
74;34;5;1;1500.0
75;34;6;2;350.0
76;34;1;2;4500.0
77;35;4;2;1200.0
78;36;5;1;1500.0
79;36;6;2;350.0
80;36;3;2;200.0
81;36;4;2;1200.0
82;37;7;2;400.0
83;37;1;2;4500.0
84;38;1;2;4500.0
85;38;6;1;350.0
86;39;4;1;1200.0
87;39;5;2;1500.0
88;39;1;2;4500.0
89;39;6;1;350.0
90;40;1;1;4500.0
91;40;3;2;200.0
92;41;5;1;1500.0
93;41;4;1;1200.0
94;42;6;2;350.0
95;42;4;2;1200.0
96;42;3;2;200.0
97;42;5;2;1500.0
98;43;5;1;1500.0
99;43;3;1;200.0
100;43;2;2;120.0
101;43;4;2;1200.0
102;44;2;1;120.0
103;44;6;1;350.0
104;44;7;1;400.0
105;44;1;2;4500.0
106;45;2;2;120.0
107;46;2;1;120.0
108;46;3;1;200.0
109;46;5;2;1500.0
110;47;2;2;120.0
111;47;3;2;200.0
112;47;4;1;1200.0
113;47;5;1;1500.0
114;48;1;2;4500.0
115;48;4;2;1200.0
116;48;6;2;350.0
117;48;3;1;200.0
118;49;2;2;120.0
119;50;4;1;1200.0
120;50;7;2;400.0
121;51;4;2;1200.0
122;51;1;2;4500.0
123;51;5;1;1500.0
124;51;7;1;400.0
125;52;3;2;200.0
126;52;4;2;1200.0
127;52;5;2;1500.0
128;52;6;1;350.0
129;53;5;1;1500.0
130;54;7;2;400.0
131;54;3;1;200.0
132;55;4;2;1200.0
133;55;1;2;4500.0
134;55;7;2;400.0
135;56;1;1;4500.0
136;56;6;1;350.0
137;56;2;2;120.0
138;57;6;1;350.0
139;58;1;1;4500.0
140;58;3;2;200.0
141;58;2;1;120.0
142;59;6;2;350.0
143;59;4;1;1200.0
144;59;5;2;1500.0
145;59;7;1;400.0
146;60;4;2;1200.0
147;60;5;1;1500.0
148;60;7;2;400.0
149;61;6;1;350.0
150;62;4;1;1200.0
151;62;5;2;1500.0
152;62;3;2;200.0
153;63;2;2;120.0
154;63;4;2;1200.0
155;63;1;1;4500.0
156;63;7;2;400.0
157;64;7;1;400.0
158;64;2;2;120.0
159;64;5;2;1500.0
160;64;1;1;4500.0
161;65;4;2;1200.0
162;65;2;2;120.0
163;65;3;2;200.0
164;65;1;2;4500.0
165;66;4;2;1200.0
166;66;7;2;400.0
167;67;1;1;4500.0
168;67;6;2;350.0
169;68;6;2;350.0
170;68;7;2;400.0
171;69;5;2;1500.0
172;69;6;2;350.0
173;69;1;1;4500.0
174;69;2;1;120.0
175;70;6;2;350.0
176;70;7;2;400.0
177;71;3;2;200.0
178;71;1;2;4500.0
179;71;2;1;120.0
180;71;4;2;1200.0
181;72;4;1;1200.0
182;72;2;1;120.0
183;73;1;2;4500.0
184;73;2;2;120.0
185;74;5;1;1500.0
186;74;4;1;1200.0
187;74;6;2;350.0
188;74;1;1;4500.0
189;75;3;2;200.0
190;76;6;2;350.0
191;76;1;1;4500.0
192;77;7;1;400.0
193;78;5;2;1500.0
194;78;3;2;200.0
195;78;1;1;4500.0
196;79;7;1;400.0
197;79;6;1;350.0
198;79;2;2;120.0
199;79;5;2;1500.0
200;80;2;1;120.0
201;81;3;1;200.0
202;81;5;2;1500.0
203;81;4;1;1200.0
204;82;1;1;4500.0
205;82;2;2;120.0
206;83;4;2;1200.0
207;83;3;2;200.0
208;83;5;1;1500.0
209;83;1;2;4500.0
210;84;4;1;1200.0
211;84;6;2;350.0
212;84;2;2;120.0
213;84;3;2;200.0
214;85;1;1;4500.0
215;85;6;1;350.0
216;85;5;1;1500.0
217;86;5;2;1500.0
218;86;4;1;1200.0
219;86;3;1;200.0
220;87;4;2;1200.0
221;87;1;1;4500.0
222;87;7;1;400.0
223;87;3;2;200.0
224;88;7;2;400.0
225;88;2;2;120.0
226;89;7;2;400.0
227;89;1;2;4500.0
228;89;3;2;200.0
229;89;6;2;350.0
230;90;7;1;400.0
231;90;1;2;4500.0
232;90;2;2;120.0
233;90;3;2;200.0
234;91;6;2;350.0
235;91;1;1;4500.0
236;91;7;1;400.0
237;91;2;2;120.0
238;92;6;2;350.0
239;92;3;1;200.0
240;93;2;1;120.0
241;94;7;2;400.0
242;94;5;2;1500.0
243;95;4;1;1200.0
244;95;6;2;350.0
245;95;2;2;120.0
246;95;3;1;200.0
247;96;4;2;1200.0
248;97;4;1;1200.0
249;97;7;1;400.0
250;98;5;1;1500.0
251;99;4;1;1200.0
252;100;6;2;350.0
253;100;2;2;120.0
254;100;1;2;4500.0
255;101;1;1;4500.0
256;101;3;1;200.0
257;102;6;2;350.0
258;103;7;1;400.0
259;103;6;1;350.0
260;103;4;1;1200.0
261;103;1;2;4500.0
262;104;6;1;350.0
263;104;4;2;1200.0
264;104;7;1;400.0
265;105;7;1;400.0
266;105;3;2;200.0
267;106;4;1;1200.0
268;106;2;2;120.0
269;107;2;1;120.0
270;107;5;2;1500.0
271;107;4;2;1200.0
272;108;1;2;4500.0
273;109;7;2;400.0
274;109;3;1;200.0
275;110;6;1;350.0
276;110;4;1;1200.0
277;110;5;1;1500.0
278;110;3;1;200.0
279;111;2;1;120.0
280;111;4;1;1200.0
281;111;3;2;200.0
282;112;3;1;200.0
283;112;4;1;1200.0
284;112;7;2;400.0
285;112;2;1;120.0
286;113;3;2;200.0
287;113;4;2;1200.0
288;113;2;1;120.0
289;113;1;2;4500.0
290;114;3;1;200.0
291;115;4;2;1200.0
292;115;3;2;200.0
293;116;3;2;200.0
294;116;5;2;1500.0
295;116;7;1;400.0
296;117;6;2;350.0
297;117;4;1;1200.0
298;117;2;1;120.0
299;118;1;1;4500.0
300;118;2;1;120.0
