carrinho_id,produto_id,quantidade
1,7,2
1,54,1
1,17,2
1,60,1
1,66,1
2,40,2
2,75,2
3,72,1
3,50,3
3,18,2
3,13,3
4,59,2
4,78,3
4,48,1
4,41,2
4,79,2
5,2,3
5,76,2
5,10,1
5,76,1
6,52,2
6,44,1
7,45,1
8,63,1
9,61,3
10,21,1
11,6,3
12,61,3
13,28,3
13,37,1
13,7,3
13,49,3
14,69,2
14,60,1
14,10,3
14,51,3
15,70,2
16,61,3
16,79,1
16,20,2
16,53,1
17,7,2
18,8,2
18,37,1
18,4,1
18,23,2
18,9,2
19,48,2
19,17,2
20,48,1
20,24,1
20,65,2
20,33,2
20,4,3
21,45,2
21,21,3
21,64,1
21,73,1
21,57,2
22,10,3
22,68,3
22,57,1
22,44,3
22,73,2
23,60,1
23,19,2
23,68,3
23,54,2
24,7,2
24,42,2
24,68,1
24,53,2
24,8,1
25,44,2
25,62,3
25,36,2
25,41,2
25,79,1
26,57,3
26,76,2
26,29,3
26,12,3
26,25,3
27,63,3
28,5,1
28,53,1
29,66,3
29,49,1
29,40,1
29,66,2
29,8,2
30,60,1
30,19,2
30,42,3
30,23,2
30,77,2
31,3,1
32,35,2
32,2,2
32,47,3
32,3,1
32,29,1
33,63,2
33,56,1
34,51,3
34,12,2
34,44,1
34,10,1
34,74,1
35,61,2
35,64,2
35,3,1
35,4,3
35,55,3
36,64,2
36,60,1
36,20,3
36,28,2
37,39,3
37,58,1
38,5,3
38,42,1
38,15,2
39,7,2
39,24,3
39,31,3
40,9,3
40,68,3
40,60,1
41,50,3
41,3,1
42,62,2
42,76,3
42,14,3
43,16,3
43,18,3
43,13,1
43,56,1
43,45,3
44,66,3
44,29,3
44,43,1
44,29,2
45,19,3
45,29,3
45,73,2
45,7,2
45,58,1
46,34,2
47,46,2
47,51,1
47,6,1
47,63,3
48,14,3
48,13,3
48,15,3
48,8,1
49,7,2
49,69,2
49,32,1
49,44,3
49,3,1
50,33,1
50,20,2
50,30,2
51,21,2
51,53,3
51,11,2
51,10,2
51,35,2
52,39,2
53,67,2
54,36,2
55,13,3
55,70,3
56,37,2
56,15,2
57,30,2
57,1,2
57,36,3
57,21,2
58,37,3
58,44,2
58,21,1
58,18,1
58,46,3
59,77,2
59,75,2
59,65,1
59,13,2
60,11,3
60,51,3
60,59,1
60,13,1
60,47,2
61,78,2
62,22,1
62,13,1
63,39,2
63,35,1
63,65,1
63,27,2
64,9,2
64,50,2
65,62,3
65,38,3
65,27,3
65,64,1
66,8,2
66,19,3
66,68,1
66,69,1
66,48,2
67,72,1
67,25,1
67,53,1
68,46,1
68,9,3
68,64,3
69,54,1
69,15,3
69,52,2
70,24,3
70,21,3
70,2,3
70,7,2
70,56,2
71,56,3
71,80,1
72,37,1
72,52,3
72,19,2
72,15,3
72,52,2
73,21,2
73,53,2
73,29,3
73,48,3
73,19,3
74,2,3
75,7,2
76,22,1
76,29,2
76,3,2
76,22,1
77,57,1
77,10,1
77,40,3
77,20,2
77,11,3
78,21,3
79,5,3
80,12,3
80,25,3
80,5,1
81,28,2
81,35,3
82,28,2
82,19,3
82,75,3
83,36,1
83,62,3
83,39,2
84,59,3
84,40,3
85,62,3
85,25,1
85,63,2
85,70,3
86,2,3
86,67,1
86,30,1
86,4,1
87,47,1
87,28,2
87,37,2
87,28,2
87,27,1
88,70,2
88,66,2
88,53,2
88,70,1
88,5,2
89,39,3
89,40,3
89,31,3
90,70,1
90,56,2
90,66,2
90,63,3
90,30,1
91,49,3
91,79,2
91,79,3
91,62,3
92,13,2
