visita_id,cliente_id,data_visita,canal,dispositivo
1,1,2024-08-22,Redes Sociais,Mobile
2,1,2023-10-20,Redes Sociais,Desktop
3,1,2022-06-28,Email,Mobile
4,1,2022-04-21,Orgânico,Desktop
5,1,2024-09-18,Email,Desktop
6,1,2023-04-26,Email,Desktop
7,2,2022-11-19,Anúncio,Desktop
8,2,2023-08-29,Orgânico,Mobile
9,3,2022-05-28,Anúncio,Desktop
10,3,2023-01-02,Anúncio,Desktop
11,3,2024-03-23,Anúncio,Mobile
12,3,2023-08-11,Redes Sociais,Mobile
13,3,2022-02-04,Redes Sociais,Mobile
14,4,2024-11-03,Anúncio,Mobile
15,4,2022-08-21,Orgânico,Mobile
16,4,2024-07-27,Redes Sociais,Desktop
17,4,2022-03-17,Redes Sociais,Desktop
18,4,2023-11-30,Orgânico,Mobile
19,4,2024-06-09,Email,Mobile
20,4,2024-11-26,Anúncio,Mobile
21,4,2022-05-07,Redes Sociais,Desktop
22,4,2023-08-15,Anúncio,Mobile
23,4,2024-10-16,Anúncio,Desktop
24,4,2023-06-12,Email,Desktop
25,4,2023-02-23,Email,Mobile
26,4,2024-04-19,Email,Mobile
27,4,2022-08-02,Orgânico,Desktop
28,5,2022-03-26,Orgânico,Mobile
29,5,2022-03-06,Anúncio,Mobile
30,5,2023-09-19,Email,Mobile
31,5,2024-07-27,Redes Sociais,Mobile
32,5,2023-05-06,Anúncio,Mobile
33,5,2022-11-09,Redes Sociais,Mobile
34,5,2024-03-23,Email,Desktop
35,5,2023-11-11,Redes Sociais,Desktop
36,6,2024-12-09,Email,Desktop
37,6,2022-12-13,Anúncio,Mobile
38,6,2023-10-11,Orgânico,Mobile
39,6,2023-06-17,Anúncio,Desktop
40,6,2022-04-22,Orgânico,Mobile
41,6,2022-12-09,Email,Mobile
42,6,2023-09-21,Email,Mobile
43,7,2022-02-27,Anúncio,Mobile
44,7,2022-05-14,Redes Sociais,Mobile
45,7,2024-10-17,Anúncio,Desktop
46,7,2024-04-13,Email,Mobile
47,7,2022-05-26,Email,Mobile
48,7,2024-06-11,Email,Mobile
49,7,2024-11-24,Anúncio,Mobile
50,7,2022-06-02,Orgânico,Mobile
51,7,2023-05-23,Anúncio,Mobile
52,8,2022-12-11,Email,Desktop
53,8,2022-08-09,Redes Sociais,Mobile
54,9,2024-11-14,Email,Desktop
55,9,2024-04-20,Orgânico,Desktop
56,9,2023-04-26,Anúncio,Desktop
57,9,2024-05-21,Redes Sociais,Desktop
58,9,2022-12-11,Orgânico,Mobile
59,9,2022-01-21,Anúncio,Desktop
60,9,2024-05-22,Email,Mobile
61,9,2023-07-05,Redes Sociais,Desktop
62,9,2024-10-30,Anúncio,Mobile
63,9,2024-01-26,Anúncio,Desktop
64,9,2023-08-23,Email,Mobile
65,9,2023-04-24,Redes Sociais,Desktop
66,9,2022-07-10,Email,Mobile
67,9,2023-09-13,Orgânico,Desktop
68,9,2022-09-29,Redes Sociais,Mobile
69,9,2024-12-28,Redes Sociais,Mobile
70,9,2024-02-27,Redes Sociais,Desktop
71,9,2023-09-15,Anúncio,Mobile
72,9,2023-06-09,Email,Desktop
73,10,2023-09-09,Email,Mobile
74,10,2022-07-10,Anúncio,Desktop
75,10,2023-06-05,Anúncio,Mobile
76,10,2022-09-24,Redes Sociais,Mobile
77,10,2023-01-11,Orgânico,Desktop
78,10,2023-07-03,Anúncio,Desktop
79,10,2022-03-14,Email,Mobile
80,10,2023-07-26,Redes Sociais,Mobile
81,10,2022-06-28,Orgânico,Mobile
82,10,2024-01-05,Orgânico,Mobile
83,10,2024-02-27,Email,Mobile
84,10,2022-07-28,Orgânico,Desktop
85,10,2023-10-27,Orgânico,Desktop
86,11,2024-01-02,Anúncio,Mobile
87,11,2023-11-29,Redes Sociais,Desktop
88,11,2024-06-04,Email,Desktop
89,11,2022-11-21,Redes Sociais,Desktop
90,11,2024-08-13,Redes Sociais,Desktop
91,11,2022-05-24,Email,Desktop
92,11,2022-11-20,Redes Sociais,Mobile
93,12,2024-08-08,Redes Sociais,Mobile
94,12,2022-09-27,Orgânico,Mobile
95,12,2024-05-19,Email,Mobile
96,12,2023-04-12,Orgânico,Mobile
97,12,2022-04-21,Anúncio,Desktop
98,12,2023-08-18,Anúncio,Mobile
99,12,2022-06-22,Orgânico,Mobile
100,12,2023-06-30,Email,Mobile
101,12,2023-06-02,Email,Desktop
102,12,2022-08-03,Anúncio,Mobile
103,12,2023-11-17,Email,Mobile
104,12,2024-06-12,Anúncio,Desktop
105,13,2022-03-19,Redes Sociais,Desktop
106,13,2023-11-19,Orgânico,Desktop
107,13,2024-04-06,Email,Mobile
108,14,2024-12-18,Redes Sociais,Mobile
109,14,2023-10-31,Redes Sociais,Desktop
110,14,2023-12-09,Redes Sociais,Mobile
111,14,2023-01-22,Anúncio,Mobile
112,14,2023-09-08,Redes Sociais,Mobile
113,14,2022-01-01,Redes Sociais,Desktop
114,14,2024-08-24,Email,Mobile
115,14,2024-04-22,Anúncio,Mobile
116,14,2023-11-21,Redes Sociais,Desktop
117,14,2022-06-14,Orgânico,Mobile
118,14,2023-01-18,Orgânico,Mobile
119,14,2022-08-12,Redes Sociais,Desktop
120,14,2023-09-03,Email,Desktop
121,14,2023-03-23,Email,Mobile
